 (New), (Baru)
%John%,%John%
(No Title),(Tanpa Judul)
01/01/2022 to 01/31/2022,01/01/2022 hingga 31/01/2022
01/04/2024 11:30 PM,04/01/2024 23:30
08:00 AM,08:00
08:00 pm,20:00
1 hour ago,1 jam yang lalu
1 hr,1 jam
1 minute ago,1 menit yang lalu
1 month ago,1 bulan lalu
1 week ago,1 minggu yang lalu
1 year ago,1 tahun yang lalu
1-10,1-10
1000+,1000+
11-50,11-50
201-500,201-500
501-1000,501-1000
51-200,51-200
<b>META</b>,<b>META</b>
<b>SHORTCUTS</b>,<b>PINTASAN</b>
"<p>Dear {{ lead_name }},</p>\n\n<p>This is a reminder for the payment of {{ grand_total }}.</p>\n\n<p>Thanks,</p>\n<p>Frappé</p>","<p>Yang Terhormat {{ lead_name }},</p>\n\n<p>Dengan ini, kami ingin mengingatkan mengenai pembayaran sebesar {{ grand_total }}.</p>\n\n<p>Hormat kami,</p>\n<p>Frappé</p>"
"<span class=""h5""><b>PORTAL</b></span>","<span class=""h5""><b>PORTAL</b></span>"
"@John, can you please check this?","@John, tolong periksa ini, ya?"
A Lead requires either a person's name or an organization's name,Sebuah Prospek harus memiliki nama orang atau nama organisasi
A lead sync source is already enabled for this Facebook Lead Form!,Sumber sinkronisasi prospek sudah diaktifkan untuk Formulir Prospek Facebook ini!
A new account has been created for you at {0},Sebuah akun baru telah dibuat untuk Anda di {0}
A valid call log is required.,Log panggilan yang valid diperlukan.
API Key,API Key
API Secret,API Secret
API Token,API Token
API key is required,Kunci API diperlukan
API secret is required,Rahasia API diperlukan
Accept,Terima
Accept Call,Terima Panggilan
Accept Invitation,Terima Undangan
Accepted,Diterima
Accepted At,Diterima pada
Access Denied,Akses ditolak
Access Key,Kunci Akses
Access Key is required for Service Provider: {0},Kunci Akses diperlukan untuk Penyedia Layanan: {0}
Access Token,Token Akses
Access token is required,Token akses diperlukan
Account ID,ID Akun
Account Info & Security,Info & Keamanan Akun
Account Name,Nama Akun
Account SID,SID Akun
Account name is required,Nama akun wajib diisi
Accounts,Akun
Actions,Tindakan
Activity,Aktivitas
Add,Tambahkan
Add Account,Tambah Akun
Add Assignee,Tambahkan Penerima
Add Attendee,Tambahkan Peserta
Add Chart,Tambahkan Bagan
Add Column,Tambahkan Kolom
Add Condition,Tambahkan Kondisi
Add Condition Group,Tambahkan Grup Kondisi
Add Description,Tambahkan Deskripsi
Add Description.,Tambahkan Deskripsi.
Add Email,Tambahkan Surel
Add Existing User,Tambah Pengguna Terdaftar
Add Field,Tambah Bidang
Add Filter,Tambah Filter
Add Lead or Deal,Tambahkan Prospek atau Kesepakatan
Add Location,Tambahkan Lokasi
Add Mobile Number...,Tambahkan Nomor Ponsel...
Add Note,Tambahkan Catatan
Add Notification,Tambahkan Pemberitahuan
Add Organization...,Tambahkan Organisasi...
Add Row,Tambah Baris
Add Sample Data,Tambahkan Data Sampel
Add Section,Tambah Bagian
Add Sort,Tambah Urutan
Add Tab,Tambah Tab
Add Task,Tambahkan Tugas
Add Weekly Holidays,Tambah Hari Libur Mingguan
Add a Condition,Tambahkan Kondisi
Add a Custom Condition,Tambahkan Kondisi Khusus
Add a Note,Tambah Catatan
Add a Task,Tambahkan Tugas
Add a name for your source,Tambahkan nama untuk sumber Anda
Add description...,Tambah deskripsi...
Add existing system users to this CRM. Assign them a role to grant access with their current credentials.,Tambahkan pengguna sistem yang ada ke CRM ini. Berikan peran untuk memberi mereka akses dengan kredensial mereka saat ini.
Add one to get started.,Tambahkan satu untuk memulai.
Add svg code or use feather icons e.g 'settings',"Tambahkan kode svg atau gunakan ikon feather, misalnya 'settings'"
Add time targets around support milestones like first response,Tambahkan target waktu seputar pencapaian dukungan seperti respons pertama
Add to Holidays,Tambahkan ke Hari Libur
Add your first comment,Tambahkan komentar pertama Anda
"Add, edit, and manage email templates for various CRM communications","Tambah, edit, dan kelola templat email untuk berbagai komunikasi CRM"
"Add, edit, and manage sources for automatic lead syncing to your CRM","Tambahkan, edit, dan kelola sumber untuk sinkronisasi prospek otomatis ke CRM Anda"
Address,Alamat
Admin,Admin
"Agent is unavailable to take the call, please call after some time.","Agen saat ini tidak dapat menerima panggilan, silakan hubungi kembali beberapa saat lagi."
All,Semua
All Day,Semua Hari
All Day Event Notifications,Pemberitahuan Acara Sepanjang Hari
All available priorities have already been added,Semua prioritas yang tersedia telah ditambahkan
Amount,Jumlah
Amount after discount,Jumlah setelah diskon
An error occurred,Terjadi kesalahan
An error occurred while updating the document,Terjadi kesalahan saat memperbarui dokumen
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],File ikon dengan ekstensi .ico. Harus berukuran 16 x 16 piksel. Dibuat menggunakan generator favicon. [favicon-generator.org]
An image with 1:1 & 2:1 ratio is preferred,Gambar dengan rasio 1:1 & 2:1 lebih diutamakan
And,Dan
Annual Revenue,Pendapatan Tahunan
Annual Revenue should be a number,Pendapatan Tahunan harus berupa angka
Any failed lead syncs will show up here,Sinkronisasi prospek yang gagal akan muncul di sini
App Name,Nama App
Appearance,Penampilan
Appears in the left sidebar. Recommended size is 32x32 px in PNG or SVG,Tampil di bilah sisi kiri. Ukuran yang disarankan 32x32 piksel dalam format PNG atau SVG
Appears next to the title in your browser tab. Recommended size is 32x32 px in PNG or ICO,Tampil di sebelah judul pada tab browser Anda. Ukuran yang disarankan 32x32 piksel dalam format PNG atau ICO
Apply,Terapkan
Apply On,Terapkan Pada
Apply To,Terapkan Ke
Apps,Aplikasi
Are you sure you want to clear demo data? This action cannot be undone.,Apakah Anda yakin ingin menghapus data demo? Tindakan ini tidak dapat dibatalkan.
Are you sure you want to delete this attachment?,Apakah Anda yakin ingin menghapus lampiran ini?
Are you sure you want to delete this contact?,Apakah Anda yakin ingin menghapus kontak ini?
Are you sure you want to delete this event?,Anda yakin ingin menghapus event ini?
Are you sure you want to delete this organization?,Apakah Anda yakin ingin menghapus organisasi ini?
Are you sure you want to delete this task?,Apakah Anda yakin ingin menghapus tugas ini?
Are you sure you want to delete {0} linked item(s)?,Apakah Anda yakin ingin menghapus {0} item tertaut?
Are you sure you want to discard unsaved changes to this event?,Apakah Anda yakin ingin membuang perubahan yang belum disimpan pada acara ini?
Are you sure you want to go back? Unsaved changes will be lost.,Apakah Anda yakin ingin kembali? Perubahan yang belum disimpan akan hilang.
Are you sure you want to login to your Frappe Cloud dashboard?,Apakah Anda yakin ingin masuk ke dasbor GARP Cloud Anda?
Are you sure you want to remove this tab and all its content?,Apakah Anda yakin ingin menghapus tab ini dan semua kontennya?
Are you sure you want to reset 'Create Quotation from CRM Deal' Form Script?,Apakah Anda yakin ingin mereset Skrip Formulir 'Create Quotation from CRM Deal'?
Are you sure you want to set the currency as {0}? This cannot be changed later.,Apakah Anda yakin ingin mengatur mata uang sebagai {0}? Pengaturan Ini tidak dapat diubah di kemudian hari.
Are you sure you want to unlink {0} linked item(s)?,Apakah Anda yakin ingin melepas tautan {0} item tertaut?
"Ask your manager to set up the Exchange Rate Provider, as default provider does not support currency conversion for {0} to {1}.","Minta manajer Anda untuk mengatur Penyedia Nilai Tukar, karena penyedia default tidak mendukung konversi mata uang untuk {0} ke {1}."
Assign Condition is required,Kondisi Penetapan diperlukan
Assign Conditions are invalid,Ketentuan Penetapan tidak valid
Assign To,Tugaskan Ke
Assign To Me,Tetapkan Kepada Saya
Assigned To,Ditugaskan Kepada
Assignee Rules,Aturan Penerima Tugas
Assignment,Penugasan
Assignment Cleared Successfully,Tugas Berhasil Diselesaikan
Assignment Condition,Kondisi Penugasan
Assignment Days,Hari Penugasan
Assignment Days are required,Hari Penugasan diperlukan
Assignment Rule,Aturan Penugasan
Assignment Rule Deleted,Aturan Penugasan Dihapus
Assignment Rule Duplicated,Aturan Penugasan Digandakan
Assignment Rule Updated,Aturan Penugasan Diperbarui
Assignment Rules,Aturan Penugasan
Assignment Schedule,Jadwal Penugasan
Assignment conditions,Kondisi penugasan
"Assignment conditions are invalid or corrupt, recreate the conditions.","Kondisi penugasan tidak valid atau rusak, buat ulang kondisi tersebut."
At least one field is required,Setidaknya satu bidang wajib diisi
At least one priority is required,Setidaknya diperlukan satu prioritas
"At least one valid Workday with Workday, Start Time, and End Time is required","Setidaknya diperlukan satu Hari Kerja yang valid dengan Hari Kerja, Waktu Mulai, dan Waktu Berakhir"
Attach,Lampirkan
Attach a File,Lampirkan File
Attach file…,Lampirkan berkas…
Attachments,Lampiran
Attendees,Peserta
Attending status updated,Status kehadiran diperbarui
Auth Token,Auth Token
Auto Create Customer,Buat Pelanggan Otomatis
Auto Update Expected Deal Value,Perbarui Otomatis Nilai Transaksi yang Diharapkan
Auto update Expected Deal Value,Pembaruan otomatis Nilai Transaksi yang Diharapkan
Auto-assign leads/deals to the right sales user based on predefined conditions,Tetapkan prospek/penawaran secara otomatis ke pengguna penjualan yang tepat berdasarkan kondisi yang telah ditentukan sebelumnya
Auto-generated from the portal view — do not edit directly unless you know what you're doing! ,Dibuat secara otomatis dari tampilan portal — jangan mengedit secara langsung kecuali Anda tahu apa yang Anda lakukan!
Autocomplete,Pelengkapan Otomatis
Automatically sets Communication Status to “Open” for the lead or deal when a new communication is created. Applies only when SLA is enabled,Secara otomatis menetapkan Status Komunikasi ke “Terbuka” untuk prospek atau kesepakatan ketika komunikasi baru dibuat. Hanya berlaku ketika SLA diaktifkan
Automatically sets Communication Status to “Replied” for the lead or deal when a response is received. Applies only when SLA is enabled,Secara otomatis menetapkan Status Komunikasi ke “Dibalas” untuk prospek atau transaksi ketika respons diterima. Hanya berlaku ketika SLA diaktifkan
Average deal value of non won/lost deals,Nilai rata-rata kesepakatan yang sedang berjalan
Average deal value of ongoing & won deals,Nilai rata-rata kesepakatan yang sedang berjalan & berhasil
Average deal value of won deals,Nilai rata-rata kesepakatan yang berhasil
Average time taken from deal creation to deal closure,Waktu rata-rata yang dibutuhkan dari pembuatan kesepakatan hingga penutupan kesepakatan
Average time taken from lead creation to deal closure,Waktu rata-rata yang dibutuhkan dari pembuatan prospek hingga penutupan kesepakatan
Avg Deal Value,Nilai Kesepakatan Rata-rata
Avg Ongoing Deal Value,Rata-rata Nilai Transaksi yang Sedang Berlangsung
Avg Time to Close a Deal,Rata-Rata Waktu untuk Menutup Kesepakatan
Avg Time to Close a Lead,Rata-Rata Waktu untuk Menutup Prospek
